Country,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011
Afghanistan,740,772,1096,1876,1267,1915,1710,2067,1498,2332,2100,1694
Albania,416,438,458,396,416,432,440,418,432,464,468,492
Algeria,2199,2334,2601,2885,2986,3206,3151,2927,3079,3681,4868,5651
Angola,1355,1654,1979,2192,2629,2763,2862,4168,4583,5931,6368,6954
Antigua & Barbuda,2,2,2,2,2,0,0,0,0,2,2,0
Argentina,6034,6020,5278,5498,6440,6182,6192,7296,6788,5844,6600,6350
Armenia,222,300,356,366,438,402,374,436,444,416,380,388
Australia,1066,1280,894,1190,1100,1160,776,858,960,978,988,1108
Austria,1142,998,988,996,1148,998,1054,1042,1134,1058,896,1088
Azerbaijan,176,212,228,250,294,272,278,282,288,304,292,294
Bahamas,2,2,2,2,2,2,4,4,4,4,4,4
Bangladesh,4661,4680,4709,5041,5097,5766,6024,6377,6980,6994,7834,7899
Barbados,2,2,2,4,6,4,4,2,4,4,4,2
Belarus,970,836,922,1018,1124,1074,1108,1126,1304,1316,1262,1284
Belgium,1044,850,938,1372,1648,1494,1176,1028,1042,1282,1408,1206
Belize,47,54,37,34,39,56,46,36,40,40,64,35
Benin,1594,1658,1682,1868,1908,1888,1780,1970,2202,2390,2330,2456
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,812,820,852,852,816,848,850,836,860,880,892,920
Bosnia and Herzegovina,312,310,332,356,502,492,488,560,484,458,468,470
Botswana,86,84,76,72,78,74,76,80,82,86,102,90
Brazil,140928,77976,36572,34955,35897,32988,37845,53471,119309,125483,139022,305142
Brunei Darussalam,10,10,10,10,10,10,10,8,8,10,10,8
Bulgaria,1376,1490,1526,1276,1722,1292,1258,900,1394,738,1508,1722
Burkina Faso,693,802,796,904,875,922,934,886,1027,976,1109,1050
Cabo Verde,14,16,16,20,18,20,18,20,20,24,24,24
Cambodia,728,732,712,914,844,1496,1760,1898,2174,2352,2940,3792
Cameroon,2456,2494,2624,2720,2824,3932,4332,4612,4778,5936,6910,7362
Canada,2960,3050,3058,3322,3338,3426,3384,3610,3766,3698,3892,3862
Caribbean,3374,3684,3468,3909,4099,3840,3260,3398,3162,3520,3641,3733
Central African Republic,204,212,212,208,218,214,222,230,234,250,250,256
Central America,17809,19030,16497,17266,22049,20723,24481,23515,23960,23572,24373,22604
Chad,491,582,559,658,595,725,752,758,760,804,836,716
Chile,1736,1810,2144,1880,1832,1954,2086,1984,1816,1556,1672,1742
China,139978,140629,145909,142443,138707,140286,141985,153539,165589,168774,176327,189796
Taiwan,1229,1201,1284,1214,1183,1069,1165,1080,1029,1071,1101,1161
Colombia,3279,3303,3394,3564,3521,3475,3729,3938,3971,3695,3690,3700
Congo,124,116,108,388,418,560,500,658,674,674,594,602
Costa Rica,1354,1656,1266,1482,1448,1606,1938,1352,1504,1186,1224,1572
Côte d'Ivoire,2580,2524,2532,2541,2584,2712,2778,2723,2808,2643,2832,2895
Croatia,390,388,438,304,350,280,330,314,368,322,288,292
Cuba,1534,1758,1606,1994,2180,1850,1198,1256,1178,1190,1120,1226
