Code,Name,Street_Add,Town,Type,ZipCode,Waste,Lat,Long,X_Coord,Y_Coord,Status,Score
PPPPP,10 Bridge Street Cafe & Rest,10 Bridge St,Shelburne Falls,R,99999,500000,42.60366671,-72.74091069,98171.7172,928862.8306,M,100
QQQQQ,10 Bridge Street Cafe & Rest,10 Bridge St,Shelburne Falls,R,99999,40,42.60366671,-72.74091069,98171.7172,928862.8306,M,100
R1427,10 Bridge Street Cafe & Rest,10 Bridge St,Shelburne Falls,R,01370,27,42.60366671,-72.74091069,98171.7172,928862.8306,M,100
R3688,111 Chophouse,111 Shrewsbury St,Worcester,R,01604,120,42.263585,-71.7899003,176081.7954,890386.8639,M,100
R1508,1370 Coffee House,1369 Cambridge St,Cambridge,R,02139,30,42.3736773,-71.1004939,232903.891,902651.864,M,100
R2496,1640 Harthouse,51 Linebrook Rd,Ipswich,R,01938,45,42.68418008,-70.8517239,253130.4828,937267.8518,M,100
R3689,1761 Old Mill Restaurant,69 State Rd E,Westminster,R,01473,120,42.54974874,-71.88570266,168321.4117,922204.3609,M,100
R2017,224 Boston Street Restaurant,224 Boston St,Boston,R,02125,36,42.32215419,-71.06111806,236176.361,896944.872,M,100
R2830,28 Degrees,1 Appleton St,Boston,R,02116,46.5,42.3466571,-71.0690856,235505.8645,899663.178,M,100
R2497,29 Newbury Street Restaurant,29 Newbury St,Boston,R,02116,45,42.35226425,-71.07255764,235216.6616,900284.5535,M,100
W1,2nd Street Baking Co,69 2nd St,Turners Falls,W,01376,42.6087949,-72.5560485,113347.592,929228.1912,M,100
R3455,34 Restaurant & Lounge,33 Stanhope St,Boston,R,02116,90,42.3483641,-71.07304094,235179.0121,899851.144,M,100
R463,4 Lucky Stars,179 W Central St Ste 5,Natick,R,01760,18,42.28250104,-71.3804818,209857.9124,892454.219,M,100
R2018,400 East,1421 Orleans Rd Ste 21,Harwich,R,02645,36,41.70710987,-70.02321908,322905.9195,829602.37,M,100
R1509,5 Corners Kitchen,2 School St,Marblehead,R,01945,30,42.5014929,-70.8557952,252950.0862,916972.3688,M,100
R2405,5 Guys,85 OLD FAUNCE CORNER RD,NORTH DARTMOUTH,R,02747,42,41.64915306,-70.98755467,242689.0966,822229.4769,M,100
R1510,75 Chestnut,75 Chestnut St Ste 1,Boston,R,02108,30,42.35677043,-71.07070067,235367.1359,900785.8472,M,100
G1,88 Supermarket Inc,50 Harold St,Boston,G,02119,105,42.31877289,-71.08918486,233864.6857,896557.7729,M,100
R1,99 Restaurant & Pub,13 Commonwealth Ave,Concord,R,01742,15,42.45651441,-71.39300412,208800.8208,911781.7239,M,100
R3029,99 Restaurant & Pub,34 Sconticut Neck Rd,Fairhaven,R,02719,60,41.63813025,-70.88123503,251554.7602,821063.9635,M,100
R3030,99 Restaurant & Pub,786 River St,Haverhill,R,01832,60,42.77137,-71.11474307,231530.784,946822.9266,M,100
R3173,99 Restaurant & Pub,672 Boston Rd,Billerica,R,01821,64.5,42.5407486,-71.2474048,220749.1878,921163.7069,M,100
R3176,99 Restaurant & Pub,121 VFW Pkwy,Revere,R,02151,66,42.41142398,-70.99632229,241458.765,906890.0259,M,100
R3178,99 Restaurant & Pub,464 Lowell St,Andover,R,01810,67.5,42.64290368,-71.20955157,223819.9525,932521.2778,M,100
R3179,99 Restaurant & Pub,15 Bridge St,Salem,R,01970,67.5,42.5350993,-70.8871364,250347.2357,920686.3264,M,100
R3234,99 Restaurant & Pub,1600 Falmouth Rd,Centerville,R,02632,75,41.65715315,-70.34534277,296173.9703,823640.7599,M,100
R3235,99 Restaurant & Pub,275 Summer St,Fitchburg,R,01420,75,42.57265758,-71.77951841,177050.854,924715.11,M,100
R3236,99 Restaurant & Pub,8 Ryans Way,Mashpee,R,02649,75,41.62136314,-70.48843159,284303.524,819514.5859,T,100
R3237,99 Restaurant & Pub,699 Merrill Rd,Pittsfield,R,01201,75,42.46780904,-73.20345216,59918.8726,914429.6369,M,100
R3238,99 Restaurant & Pub,3013 Cranberry Hwy,Wareham,R,02571,75,41.76197907,-70.67425036,268666.8393,834964.9593,M,61
R3239,99 Restaurant & Pub,14 Berry Ave,West Yarmouth,R,02673,75,41.6499504,-70.2425018,304751.0217,822961.9741,M,100
R3240,99 Restaurant & Pub,1094 MAIN ST,SOUTH WEYMOUTH,R,02190,75,42.1661319,-70.9552509,245013.3992,879665.4984,M,100
R3241,99 Restaurant & Pub,900 W Boylston St,Worcester,R,01606,75,42.32533616,-71.79285596,175861.4897,897246.6805,M,100
R3402,99 Restaurant & Pub,59 Newport Ave,Quincy,R,02171,82.5,42.27277122,-71.027806,238952.5613,891474.3938,M,100
R3433,99 Restaurant & Pub,233 Broad St,Bridgewater,R,02324,85.5,41.99601112,-70.9730945,243655.6997,860761.0777,M,100
R3434,99 Restaurant & Pub,847 W Central St,Franklin,R,02038,85.5,42.09040161,-71.43223703,205606.0712,871112.4745,M,100
R3435,99 Restaurant & Pub,17 Colrain Rd,Greenfield,R,01301,85.5,42.58707842,-72.62373671,107762.0724,926887.0227,M,100
R3436,99 Restaurant & Pub,428 Lincoln St,Hingham,R,02043,85.5,42.24800912,-70.92630151,247344.3257,888775.3557,M,100
R3437,99 Restaurant & Pub,196 EAST MAIN STREET,MILFORD,R,01757,85.5,42.15090955,-71.50131963,199890.9305,877830.9741,M,100
R3438,99 Restaurant & Pub,166 Church St,Pembroke,R,02359,85.5,42.1078721,-70.76975423,260396.328,873309.2581,M,100
R3439,99 Restaurant & Pub,21 Home Depot Dr,Plymouth,R,02360,85.5,41.9329703,-70.65889046,269756.8055,853968.2607,M,100
R3440,99 Restaurant & Pub,1371 Liberty St,Springfield,R,01104,85.5,42.13785856,-72.58311478,110462.5929,876949.8654,M,100
R3441,99 Restaurant & Pub,1655 Boston Rd,Springfield,R,01129,85.5,42.14348564,-72.48783076,118346.2671,877479.2127,M,100
R3442,99 Restaurant & Pub,158 Dean St,Taunton,R,02780,85.5,41.90594518,-71.0690208,235758.5392,850713.0029,M,100
R3443,99 Restaurant & Pub,401 Main St,Tewksbury,R,01876,85.5,42.62058219,-71.2594892,219731.5235,930028.9638,M,100
R3444,99 Restaurant & Pub,1053 Riverdale St,West Springfield,R,01089,85.5,42.13277478,-72.62586692,106921.168,876431.0131,M,100
R3445,99 Restaurant & Pub,333 Littleton Rd,Westford,R,01886,85.5,42.55465251,-71.44840579,204237.2279,922678.7397,M,100
R3446,99 Restaurant & Pub,144 Lowell St,Wilmington,R,01887,85.5,42.54038204,-71.15466134,228367.6383,921149.6918,M,100
R3447,99 Restaurant & Pub,11 E Central St,Worcester,R,01605,85.5,42.26661235,-71.79520406,175645.3746,890724.6243,M,100
R3448,99 Restaurant & Pub,50 SW Cutoff Ste 1,Worcester,R,01604,85.5,42.2391645,-71.74587367,179706.3794,887662.9776,M,100
R3453,99 Restaurant & Pub,20 CUMMINGS ST,SOMERVILLE,R,02145,88.5,42.3944881,-71.0835915,234284.7008,904970.1037,M,51
R3456,99 Restaurant & Pub,160 Lexington Rd,Billerica,R,01821,90,42.52849707,-71.25705546,219960.3222,919800.4905,M,100
R3457,99 Restaurant & Pub,390 N Main St,East Longmeadow,R,01028,90,42.07791621,-72.52450114,115227.7761,870232.5905,M,100
R3458,99 Restaurant & Pub,404 Pleasant St Bldg 7,Fall River,R,02721,90,41.69912136,-71.14844933,229263.0374,827711.4098,M,100
R3459,99 Restaurant & Pub,255 Washington St,Hudson,R,01749,90,42.37622183,-71.56466752,194674.0861,902859.4651,M,100
R3460,99 Restaurant & Pub,850 Chelmsford St,Lowell,R,01851,90,42.6168426,-71.3254466,214321.2327,929600.3887,M,100
R3461,99 Restaurant & Pub,317 Salem St,Lynnfield,R,01940,90,42.5124328,-71.02357761,239152.6778,918096.9701,M,100
R3462,99 Restaurant & Pub,196 E Main St B,Milford,R,01757,90,42.15090955,-71.50131963,199890.9305,877830.9741,M,100
R3463,99 Restaurant & Pub,267 Chickering Rd,North Andover,R,01845,90,42.686389,-71.1219565,230982.2561,937379.9876,M,100
R3464,99 Restaurant & Pub,1510 S Washington St,North Attleboro,R,02760,90,41.933723,-71.3517415,212295.7585,853718.6066,M,100
R3465,99 Restaurant & Pub,161 Faunce Corner Mall Rd,North Dartmouth,R,02747,90,41.65190697,-70.98765755,242678.6896,822535.2911,M,86
R3466,99 Restaurant & Pub,2 Accord Park Dr,Rockland,R,02370,90,42.16731873,-70.88894916,250490.9742,879834.4387,M,100
R3467,99 Restaurant & Pub,181 Broadway,Saugus,R,01906,90,42.49347411,-71.01647091,239748.6426,915994.3468,M,100
R3468,99 Restaurant & Pub,821 Fall River Ave,Seekonk,R,02771,90,41.80425433,-71.33082666,214058.8404,839341.9488,M,100
R3469,99 Restaurant & Pub,10 Main St,Stoneham,R,02180,90,42.49953265,-71.10078196,232814.7353,916631.4603,M,100
R3470,99 Restaurant & Pub,110 South St,Waltham,R,02453,90,42.37201583,-71.24997806,220592.7499,902420.437,M,100
R3471,99 Restaurant & Pub,194 Cambridge Rd,Woburn,R,01801,90,42.4669757,-71.1774351,226527.7467,912988.3986,M,100
R3472,99 Restaurant & Pub,160 Olympia Ave,Woburn,R,01801,90,42.50015536,-71.14216268,229413.0733,916685.5361,M,100
R3578,99 Restaurant & Pub,362 Turnpike St,Canton,R,02021,97.5,42.17228634,-71.11134616,232112.0163,880278.5077,M,100
R3579,99 Restaurant & Pub,4 Fisher St,Foxboro,R,02035,97.5,42.03890998,-71.23822117,221674.6409,865424.2861,M,100
R3580,99 Restaurant & Pub,99 Belmont St,South Easton,R,02375,97.5,42.05311034,-71.07567408,235125.2028,867055.6375,M,100
R3581,99 Restaurant & Pub,55 PROVIDENCE HWY,EAST WALPOLE,R,02081,97.5,42.15655717,-71.20268283,224571.5683,878501.0929,M,51
R3612,99 Restaurant & Pub,793 Southbridge St,Auburn,R,01501,105,42.18143997,-71.86868204,169542.5117,881287.8916,M,100
R3613,99 Restaurant & Pub,291 Mishawum Rd,Woburn,R,01801,105,42.50358074,-71.13390045,230090.5648,917068.9073,M,100
R3242,99 Restaurant The,60 Commonwealth Ave,Danvers,R,01923,75,42.54974541,-70.94322771,245728.7389,922281.6157,M,100
F1,A & A Seafood Inc,7 Conway St,New Bedford,F,02740,41.62686,-70.91706135,248578.3564,819791.2048,M,100
G2,A & P Super Foodmart,Main St,Dennis,G,02639,39,41.74739,-70.17838,309924.3421,833863.8267,M,100
G3,A & P Super Foodmart,170 Clay Pond Rd,Bourne,G,02532,75,41.71682161,-70.58943223,275773.3448,830021.4913,M,100
G4,A & P Super Foodmart,770 Main St,Barnstable,G,02655,33,41.64751008,-70.29497658,300383.9395,822627.8616,M,100
G5,A & P Super Foodmart,28 Shank Painter Rd,Provincetown,G,02657,150,42.0490116,-70.19350453,308153.3563,867341.3374,M,100
G6,A & P Super Foodmart,George Ryder Rd,Chatham,G,02633,37.5,41.68308477,-69.99558779,325252.3747,826974.5595,M,63
G7,A & P Variety Store,60 Aborn St,Peabody,G,01960,262.5,42.52071414,-70.92178687,247511.5487,919068.5645,M,100
F2,A Arena & Sons Inc,159 Ash St,Hopkinton,F,01748,42.21466108,-71.49816665,200151.3779,884912.0435,M,100
F3,A D Makepeace CO,158 Tihonet Rd,Wareham,F,02571,41.78828304,-70.71339696,265384.6793,837855.5978,M,100
R2044,A J Tomaiolo Food & Spirits,411 W Main St Ste 2,Northborough,R,01532,37.5,42.30542911,-71.66686493,186241.8949,895007.5099,M,100
R3243,A K Diamonds,16 Macys Ln,Nantucket,R,02554,75,41.2610602,-70.0647165,320286.2115,780008.4783,M,100
R1903,A Lighter Fare,10 Bassett St,Milton,R,02186,31.5,42.25922002,-71.04140764,237838.6289,889963.0993,M,100
