SortCode,Category,Country,CountryCode,Year,Type,Value
114,Expense,Afghanistan,AFG,2000,Total,-1
114,Expense,Afghanistan,AFG,2001,Total,-1
114,Expense,Afghanistan,AFG,2002,Total,-1
114,Expense,Afghanistan,AFG,2003,Total,-1
114,Expense,Afghanistan,AFG,2004,Total,-1
114,Expense,Afghanistan,AFG,2005,Total,-1
114,Expense,Afghanistan,AFG,2006,Total,-1
114,Expense,Afghanistan,AFG,2007,Total,-1
114,Expense,Afghanistan,AFG,2008,Total,-1
114,Expense,Afghanistan,AFG,2009,Total,-1
114,Expense,Afghanistan,AFG,2010,Total,-1
114,Expense,Afghanistan,AFG,2011,Total,-1
114,Income,Afghanistan,AFG,2000,Total,-1
114,Income,Afghanistan,AFG,2001,Total,119.8990371
114,Income,Afghanistan,AFG,2002,Total,192.1535283
114,Income,Afghanistan,AFG,2003,Total,203.6510409
114,Income,Afghanistan,AFG,2004,Total,224.9147122
114,Income,Afghanistan,AFG,2005,Total,257.1757947
114,Income,Afghanistan,AFG,2006,Total,280.2456441
114,Income,Afghanistan,AFG,2007,Total,380.4009552
114,Income,Afghanistan,AFG,2008,Total,384.1316813
114,Income,Afghanistan,AFG,2009,Total,458.9557816
114,Income,Afghanistan,AFG,2010,Total,569.9407288
114,Income,Afghanistan,AFG,2011,Total,622.3796544
114,Waste,Afghanistan,AFG,2000,Total,740
114,Waste,Afghanistan,AFG,2000,Cereals - Excluding Beer,184679
114,Waste,Afghanistan,AFG,2000,Fruits - Excluding Wine,42830
114,Waste,Afghanistan,AFG,2000,Oilcrops,1052
114,Waste,Afghanistan,AFG,2000,Pulses,1516
114,Waste,Afghanistan,AFG,2000,Starchy Roots,7470
114,Waste,Afghanistan,AFG,2000,Vegetables,77980
114,Waste,Afghanistan,AFG,2001,Cereals - Excluding Beer,202959
114,Waste,Afghanistan,AFG,2001,Fruits - Excluding Wine,45302
114,Waste,Afghanistan,AFG,2001,Oilcrops,1047
114,Waste,Afghanistan,AFG,2001,Pulses,1746
114,Waste,Afghanistan,AFG,2001,Starchy Roots,7236
114,Waste,Afghanistan,AFG,2001,Vegetables,92117
114,Waste,Afghanistan,AFG,2002,Cereals - Excluding Beer,352727
114,Waste,Afghanistan,AFG,2002,Fruits - Excluding Wine,45400
114,Waste,Afghanistan,AFG,2002,Oilcrops,1052
114,Waste,Afghanistan,AFG,2002,Pulses,1516
114,Waste,Afghanistan,AFG,2002,Starchy Roots,7537
114,Waste,Afghanistan,AFG,2002,Vegetables,79083
114,Waste,Afghanistan,AFG,2003,Cereals - Excluding Beer,720244
114,Waste,Afghanistan,AFG,2003,Fruits - Excluding Wine,43644
114,Waste,Afghanistan,AFG,2003,Oilcrops,1308
114,Waste,Afghanistan,AFG,2003,Pulses,1611
114,Waste,Afghanistan,AFG,2003,Starchy Roots,11355
114,Waste,Afghanistan,AFG,2003,Vegetables,104101
114,Waste,Afghanistan,AFG,2004,Cereals - Excluding Beer,435613
114,Waste,Afghanistan,AFG,2004,Fruits - Excluding Wine,44602
114,Waste,Afghanistan,AFG,2004,Oilcrops,1230
114,Waste,Afghanistan,AFG,2004,Pulses,1582
