SortCode,Category,Country,CountryCode,Year,Value
114,Expense,Afghanistan,AFG,2000,-1
114,Expense,Afghanistan,AFG,2001,-1
114,Expense,Afghanistan,AFG,2002,-1
114,Expense,Afghanistan,AFG,2003,-1
114,Expense,Afghanistan,AFG,2004,-1
114,Expense,Afghanistan,AFG,2005,-1
114,Expense,Afghanistan,AFG,2006,-1
114,Expense,Afghanistan,AFG,2007,-1
114,Expense,Afghanistan,AFG,2008,-1
114,Expense,Afghanistan,AFG,2009,-1
114,Expense,Afghanistan,AFG,2010,-1
114,Expense,Afghanistan,AFG,2011,-1
114,Income,Afghanistan,AFG,2000,-1
114,Income,Afghanistan,AFG,2001,119.8990371
114,Income,Afghanistan,AFG,2002,192.1535283
114,Income,Afghanistan,AFG,2003,203.6510409
114,Income,Afghanistan,AFG,2004,224.9147122
114,Income,Afghanistan,AFG,2005,257.1757947
114,Income,Afghanistan,AFG,2006,280.2456441
114,Income,Afghanistan,AFG,2007,380.4009552
114,Income,Afghanistan,AFG,2008,384.1316813
114,Income,Afghanistan,AFG,2009,458.9557816
114,Income,Afghanistan,AFG,2010,569.9407288
114,Income,Afghanistan,AFG,2011,622.3796544
114,Waste,Afghanistan,AFG,2000,740
114,Waste,Afghanistan,AFG,2001,772
114,Waste,Afghanistan,AFG,2002,1096
114,Waste,Afghanistan,AFG,2003,1876
114,Waste,Afghanistan,AFG,2004,1267
114,Waste,Afghanistan,AFG,2005,1915
114,Waste,Afghanistan,AFG,2006,1710
114,Waste,Afghanistan,AFG,2007,2067
114,Waste,Afghanistan,AFG,2008,1498
114,Waste,Afghanistan,AFG,2009,2332
114,Waste,Afghanistan,AFG,2010,2100
114,Waste,Afghanistan,AFG,2011,1694
126,Expense,Albania,ALB,2000,-1
126,Expense,Albania,ALB,2001,-1
126,Expense,Albania,ALB,2002,-1
126,Expense,Albania,ALB,2003,-1
126,Expense,Albania,ALB,2004,-1
126,Expense,Albania,ALB,2005,-1
126,Expense,Albania,ALB,2006,-1
126,Expense,Albania,ALB,2007,-1
126,Expense,Albania,ALB,2008,-1
126,Expense,Albania,ALB,2009,-1
126,Expense,Albania,ALB,2010,-1
126,Expense,Albania,ALB,2011,-1
126,Income,Albania,ALB,2000,1175.788981
126,Income,Albania,ALB,2001,1326.970339
126,Income,Albania,ALB,2002,1453.642777
126,Income,Albania,ALB,2003,1890.681557
126,Income,Albania,ALB,2004,2416.588235
126,Income,Albania,ALB,2005,2709.142931
126,Income,Albania,ALB,2006,3005.012903
126,Income,Albania,ALB,2007,3603.013685
126,Income,Albania,ALB,2008,4370.539647
126,Income,Albania,ALB,2009,4114.136545
126,Income,Albania,ALB,2010,4094.358832
126,Income,Albania,ALB,2011,4437.811999
126,Waste,Albania,ALB,2000,416
126,Waste,Albania,ALB,2001,438
126,Waste,Albania,ALB,2002,458
126,Waste,Albania,ALB,2003,396
126,Waste,Albania,ALB,2004,416
126,Waste,Albania,ALB,2005,432
126,Waste,Albania,ALB,2006,440
126,Waste,Albania,ALB,2007,418
126,Waste,Albania,ALB,2008,432
126,Waste,Albania,ALB,2009,464
126,Waste,Albania,ALB,2010,468
126,Waste,Albania,ALB,2011,492
51,Expense,Algeria,DZA,2000,-1
51,Expense,Algeria,DZA,2001,-1
51,Expense,Algeria,DZA,2002,-1
51,Expense,Algeria,DZA,2003,-1
51,Expense,Algeria,DZA,2004,-1
51,Expense,Algeria,DZA,2005,-1
51,Expense,Algeria,DZA,2006,-1
51,Expense,Algeria,DZA,2007,-1
51,Expense,Algeria,DZA,2008,-1
51,Expense,Algeria,DZA,2009,628
51,Expense,Algeria,DZA,2010,658
51,Expense,Algeria,DZA,2011,723.2
51,Income,Algeria,DZA,2000,1757.011974
51,Income,Algeria,DZA,2001,1732.958517
51,Income,Algeria,DZA,2002,1774.292021
51,Income,Algeria,DZA,2003,2094.893302
51,Income,Algeria,DZA,2004,2600.00652
51,Income,Algeria,DZA,2005,3102.037384
51,Income,Algeria,DZA,2006,3467.54474
51,Income,Algeria,DZA,2007,3939.559939
51,Income,Algeria,DZA,2008,4912.251941
51,Income,Algeria,DZA,2009,3875.822095
51,Income,Algeria,DZA,2010,4473.486446
51,Income,Algeria,DZA,2011,5447.403976
51,Waste,Algeria,DZA,2000,2199
51,Waste,Algeria,DZA,2001,2334
51,Waste,Algeria,DZA,2002,2601
51,Waste,Algeria,DZA,2003,2885
51,Waste,Algeria,DZA,2004,2986
51,Waste,Algeria,DZA,2005,3206
51,Waste,Algeria,DZA,2006,3151
51,Waste,Algeria,DZA,2007,2927
51,Waste,Algeria,DZA,2008,3079
51,Waste,Algeria,DZA,2009,3681
51,Waste,Algeria,DZA,2010,4868
51,Waste,Algeria,DZA,2011,5651
165,Expense,Andorra,AND,2000,-1
165,Expense,Andorra,AND,2001,-1
165,Expense,Andorra,AND,2002,-1
165,Expense,Andorra,AND,2003,-1
165,Expense,Andorra,AND,2004,-1
165,Expense,Andorra,AND,2005,-1
165,Expense,Andorra,AND,2006,-1
165,Expense,Andorra,AND,2007,-1
165,Expense,Andorra,AND,2008,-1
165,Expense,Andorra,AND,2009,-1
165,Expense,Andorra,AND,2010,-1
165,Expense,Andorra,AND,2011,-1
165,Income,Andorra,AND,2000,21432.96007
165,Income,Andorra,AND,2001,21897.66294
165,Income,Andorra,AND,2002,24175.37275
165,Income,Andorra,AND,2003,31742.99258
165,Income,Andorra,AND,2004,37235.45003
165,Income,Andorra,AND,2005,39990.33041
165,Income,Andorra,AND,2006,42417.22915
165,Income,Andorra,AND,2007,47253.5298
165,Income,Andorra,AND,2008,46735.99957
165,Income,Andorra,AND,2009,42701.44714
165,Income,Andorra,AND,2010,39639.38602
165,Income,Andorra,AND,2011,41630.05258
165,Waste,Andorra,AND,2000,-1
165,Waste,Andorra,AND,2001,-1
165,Waste,Andorra,AND,2002,-1
165,Waste,Andorra,AND,2003,-1
165,Waste,Andorra,AND,2004,-1
165,Waste,Andorra,AND,2005,-1
165,Waste,Andorra,AND,2006,-1
165,Waste,Andorra,AND,2007,-1
165,Waste,Andorra,AND,2008,-1
165,Waste,Andorra,AND,2009,-1
165,Waste,Andorra,AND,2010,-1
165,Waste,Andorra,AND,2011,-1
64,Expense,Angola,AGO,2000,-1
64,Expense,Angola,AGO,2001,-1
64,Expense,Angola,AGO,2002,-1
64,Expense,Angola,AGO,2003,-1
64,Expense,Angola,AGO,2004,-1
64,Expense,Angola,AGO,2005,-1
64,Expense,Angola,AGO,2006,-1
64,Expense,Angola,AGO,2007,-1
64,Expense,Angola,AGO,2008,-1
64,Expense,Angola,AGO,2009,-1
64,Expense,Angola,AGO,2010,-1
64,Expense,Angola,AGO,2011,-1
64,Income,Angola,AGO,2000,606.2722922
64,Income,Angola,AGO,2001,574.1941611
64,Income,Angola,AGO,2002,948.8443996
64,Income,Angola,AGO,2003,1067.178916
64,Income,Angola,AGO,2004,1361.744225
64,Income,Angola,AGO,2005,2063.922202
64,Income,Angola,AGO,2006,2825.07349
64,Income,Angola,AGO,2007,3402.14598
64,Income,Angola,AGO,2008,4462.125351
64,Income,Angola,AGO,2009,3565.181589
64,Income,Angola,AGO,2010,3928.824514
64,Income,Angola,AGO,2011,5053.738649
64,Waste,Angola,AGO,2000,1355
64,Waste,Angola,AGO,2001,1654
64,Waste,Angola,AGO,2002,1979
64,Waste,Angola,AGO,2003,2192
64,Waste,Angola,AGO,2004,2629
64,Waste,Angola,AGO,2005,2763
64,Waste,Angola,AGO,2006,2862
64,Waste,Angola,AGO,2007,4168
64,Waste,Angola,AGO,2008,4583
64,Waste,Angola,AGO,2009,5931
64,Waste,Angola,AGO,2010,6368
64,Waste,Angola,AGO,2011,6954
182,Expense,Antigua and Barbuda,ATG,2000,-1
182,Expense,Antigua and Barbuda,ATG,2001,-1
182,Expense,Antigua and Barbuda,ATG,2002,-1
182,Expense,Antigua and Barbuda,ATG,2003,-1
182,Expense,Antigua and Barbuda,ATG,2004,-1
182,Expense,Antigua and Barbuda,ATG,2005,-1
182,Expense,Antigua and Barbuda,ATG,2006,-1
182,Expense,Antigua and Barbuda,ATG,2007,-1
182,Expense,Antigua and Barbuda,ATG,2008,-1
182,Expense,Antigua and Barbuda,ATG,2009,-1
182,Expense,Antigua and Barbuda,ATG,2010,-1
182,Expense,Antigua and Barbuda,ATG,2011,-1
