zip,city,state,trash
01001,Agawam,MA,0
01002,Amherst,MA,0
01003,Amherst,MA,0
01004,Amherst,MA,0
01005,Barre,MA,0
01007,Belchertown,MA,0
01008,Blandford,MA,0
01009,Bondsville,MA,0
01010,Brimfield,MA,0
01011,Chester,MA,0
01012,Chesterfield,MA,0
01013,Chicopee,MA,0
01014,Chicopee,MA,0
01020,Chicopee,MA,0
01021,Chicopee,MA,0
01022,Chicopee,MA,0
01026,Cummington,MA,0
01027,Easthampton,MA,0
01028,East Longmeadow,MA,0
01029,East Otis,MA,0
01030,Feeding Hills,MA,0
01031,Gilbertville,MA,0
01032,Goshen,MA,04
01033,Granby,MA,04
01034,Granville,MA,0
01035,Hadley,MA,04
01036,Hampden,MA,0
01037,Hardwick,MA,0
01038,Hatfield,MA,0
01039,Haydenville,M
01040,Holyoke,MA,0
01041,Holyoke,MA,0
01050,Huntington,MA
01053,Leeds,MA,042
01054,Leverett,MA,0
01056,Ludlow,MA,04
01057,Monson,MA,04
01059,North Amherst,MA,0
01060,Northampton,MA,0
01061,Northampton,MA,0
01062,Florence,MA,0
01063,Northampton,MA,0
01066,North Hatfield,MA,0
01068,Oakham,MA,04
01069,Palmer,MA,04
01070,Plainfield,MA,0
01071,Russell,MA,0
01072,Shutesbury,MA,0
01073,Southampton,MA,0
01074,South Barre,MA,0
01075,South Hadley,MA,0
01077,Southwick,MA,0
01079,Thorndike,MA,0
01080,Three Rivers,MA,0
01081,Wales,MA,042
01082,Ware,MA,0420
01083,Warren,MA,04
01084,West Chesterfie,MA,0
01085,Westfield,MA,0
01086,Westfield,MA,0
01088,West Hatfield,MA,0
01089,West Springfield,MA,0
01090,West Springfield,MA,0
01092,West Warren,MA,0
01093,Whately,MA,04
01094,Wheelwright,MA,0
01095,Wilbraham,MA,0
01096,Williamsburg,M
01097,Woronoco,MA,0
01098,Worthington,MA,0
01101,Springfield,MA,0
01102,Springfield,MA,0
01103,Springfield,MA,0
01104,Springfield,MA,0
01105,Springfield,MA,0
01106,Longmeadow,MA,0
01107,Springfield,MA,0
01108,Springfield,MA,0
01109,Springfield,MA,0
01111,Springfield,MA,0
01114,Springfield,MA,0
01115,Springfield,MA,0
01116,Longmeadow,MA,0
01118,Springfield,MA,0
01119,Springfield,MA,0
01128,Springfield,MA,0
01129,Springfield,MA,0
01133,Springfield,MA,0
01138,Springfield,MA,0
01139,Springfield,MA,0
01144,Springfield,MA,0
01151,Indian Orchard,MA,0
01152,Springfield,MA,0
01199,Springfield,MA,0
01201,Pittsfield,MA,0
01202,Pittsfield,MA,0
01203,Pittsfield,MA,0
01220,Adams,MA,0420
01222,Ashley Falls,MA,0
01223,Becket,MA,042
01224,Berkshire,MA,0
01225,Cheshire,MA,0
01226,Dalton,MA,042
01227,Dalton,MA,042
01229,Glendale,MA,0
01230,Great Barrington,MA,0
01231,Sheffield,MA,0
01235,Hinsdale,MA,0
01236,Housatonic,MA,0
01237,Lanesboro,MA,0
01238,Lee,MA,042029
01240,Lenox,MA,0420
01242,Lenox Dale,MA,0
01243,Middlefield,MA,0
01244,Mill River,MA,0
01245,Monterey,MA,0
01247,North Adams,MA,0
01252,North Egremont,MA,0
01253,Otis,MA,04201
01254,Richmond,MA,0
01255,Sandisfield,MA,0
01256,Savoy,MA,0420
01257,Sheffield,MA,0
01258,South Egremont,MA,0
01259,Southfield,MA,0
01260,South Lee,MA,0
01262,Stockbridge,MA,0
01263,Stockbridge,MA,0
01264,Tyringham,MA,0
01266,West Stockbridge,MA,0
01267,Williamstown,MA,0
01270,Windsor,MA,04
01301,Greenfield,MA,0
01302,Greenfield,MA,0
01330,Ashfield,MA,0
01331,Athol,MA,0420
01337,Bernardston,MA,0
01338,Buckland,MA,0
01339,Charlemont,MA
01340,Colrain,MA,04
01341,Conway,MA,042
01342,Deerfield,MA,0
